Year,County,Occupation,Successful Closures,Annotation Code,Count Annotation Desc,Percent,Percent Annotation Desc
2015,Nevada,Service Occupations,19,,,,
2015,Not Reported,Not Reported,6,,,,
2015,Not Reported,"Agricultural, Forestry, Fishing and Related",2,,,,
2015,Not Reported,Clerical and Administrative Support,9,,,,
2015,Not Reported,Computer and Mathematical Occupations,1,,,,
2015,Not Reported,"Prod, Const, Operating, Maint & Material Handling",8,,,,
2015,Not Reported,"Professional, Paraprofessional and Technical",11,,,,
2015,Not Reported,Sales and Related Occupations,2,,,,
2015,Orange,Not Reported,118,,,,
2015,Orange,"Agricultural, Forestry, Fishing and Related",11,,,,
2015,Orange,Clerical and Administrative Support,338,,,,
2015,Orange,Computer and Mathematical Occupations,1,,,,
2015,Orange,"Education, Training, and Library Occupations",5,,,,
2015,Orange,Healthcare Support Occupations,4,,,,
2015,Orange,Managerial and Administrative,13,,,,
2015,Orange,"Prod, Const, Operating, Maint & Material Handling",219,,,,
2015,Orange,"Professional, Paraprofessional and Technical",73,,,,
2015,Orange,RSA Special Occupations and Miscellaneous,45,,,,
2015,Orange,Sales and Related Occupations,276,,,,
2015,Orange,Service Occupations,220,,,,
2015,Out Of State,Not Reported,8,,,,
2015,Out Of State,Clerical and Administrative Support,4,,,,
2015,Out Of State,Managerial and Administrative,1,,,,
2015,Out Of State,"Prod, Const, Operating, Maint & Material Handling",2,,,,
2015,Out Of State,"Professional, Paraprofessional and Technical",7,,,,
2015,Out Of State,RSA Special Occupations and Miscellaneous,3,,,,
2015,Out Of State,Sales and Related Occupations,2,,,,
2015,Out Of State,Service Occupations,3,,,,
2015,Placer,Not Reported,7,,,,
2015,Placer,Clerical and Administrative Support,32,,,,
2015,Placer,"Prod, Const, Operating, Maint & Material Handling",35,,,,
2015,Placer,"Professional, Paraprofessional and Technical",14,,,,
2015,Placer,RSA Special Occupations and Miscellaneous,3,,,,
2015,Placer,Sales and Related Occupations,10,,,,
2015,Placer,Service Occupations,25,,,,
2015,Plumas,Not Reported,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Plumas,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Plumas,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Plumas,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Plumas,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Riverside,Not Reported,66,,,,
2015,Riverside,"Agricultural, Forestry, Fishing and Related",18,,,,
2015,Riverside,Clerical and Administrative Support,114,,,,
2015,Riverside,Community and Social Service Occupations,1,,,,
2015,Riverside,Computer and Mathematical Occupations,2,,,,
2015,Riverside,Construction and Extraction Occupations,1,,,,
2015,Riverside,"Education, Training, and Library Occupations",1,,,,
2015,Riverside,Healthcare Support Occupations,1,,,,
2015,Riverside,Managerial and Administrative,6,,,,
2015,Riverside,"Prod, Const, Operating, Maint & Material Handling",141,,,,
2015,Riverside,"Professional, Paraprofessional and Technical",51,,,,
2015,Riverside,RSA Special Occupations and Miscellaneous,39,,,,
2015,Riverside,Sales and Related Occupations,89,,,,
2015,Riverside,Service Occupations,120,,,,
2015,Sacramento,Not Reported,52,,,,
2015,Sacramento,"Agricultural, Forestry, Fishing and Related",10,,,,
2015,Sacramento,Clerical and Administrative Support,158,,,,
2015,Sacramento,Community and Social Service Occupations,2,,,,
2015,Sacramento,Computer and Mathematical Occupations,1,,,,
2015,Sacramento,"Education, Training, and Library Occupations",2,,,,
2015,Sacramento,Healthcare Practitioners and Technical Occupations,1,,,,
2015,Sacramento,Healthcare Support Occupations,2,,,,
2015,Sacramento,Managerial and Administrative,4,,,,
2015,Sacramento,"Prod, Const, Operating, Maint & Material Handling",94,,,,
2015,Sacramento,"Professional, Paraprofessional and Technical",36,,,,
2015,Sacramento,Protective Service Occupations,1,,,,
2015,Sacramento,RSA Special Occupations and Miscellaneous,35,,,,
2015,Sacramento,Sales and Related Occupations,42,,,,
2015,Sacramento,Service Occupations,89,,,,
2015,San Benito,Not Reported,1,,,,
2015,San Benito,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,San Benito,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,San Benito,"Prod, Const, Operating, Maint & Material Handling",12,,,,
2015,San Benito,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,San Benito,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,San Benito,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,San Benito,Service Occupations,14,,,,
2015,San Bernardino,Not Reported,60,,,,
2015,San Bernardino,"Agricultural, Forestry, Fishing and Related",12,,,,
2015,San Bernardino,Clerical and Administrative Support,84,,,,
2015,San Bernardino,Computer and Mathematical Occupations,2,,,,
2015,San Bernardino,"Education, Training, and Library Occupations",2,,,,
2015,San Bernardino,Healthcare Practitioners and Technical Occupations,2,,,,
2015,San Bernardino,Healthcare Support Occupations,1,,,,
2015,San Bernardino,Managerial and Administrative,1,,,,
2015,San Bernardino,"Prod, Const, Operating, Maint & Material Handling",153,,,,
2015,San Bernardino,"Professional, Paraprofessional and Technical",33,,,,
2015,San Bernardino,RSA Special Occupations and Miscellaneous,22,,,,
2015,San Bernardino,Sales and Related Occupations,138,,,,
2015,San Bernardino,Service Occupations,91,,,,
2015,San Diego,Not Reported,123,,,,
2015,San Diego,"Agricultural, Forestry, Fishing and Related",6,,,,
2015,San Diego,Business and Financial Operations Occupations,1,,,,
2015,San Diego,Clerical and Administrative Support,192,,,,
2015,San Diego,Community and Social Service Occupations,1,,,,
2015,San Diego,Computer and Mathematical Occupations,5,,,,
2015,San Diego,Construction and Extraction Occupations,1,,,,
2015,San Diego,"Education, Training, and Library Occupations",5,,,,
2015,San Diego,Healthcare Support Occupations,1,,,,
2015,San Diego,Managerial and Administrative,16,,,,
2015,San Diego,"Prod, Const, Operating, Maint & Material Handling",218,,,,
2015,San Diego,"Professional, Paraprofessional and Technical",98,,,,
2015,San Diego,RSA Special Occupations and Miscellaneous,132,,,,
2015,San Diego,Sales and Related Occupations,103,,,,
2015,San Diego,Service Occupations,245,,,,
2015,San Francisco,Not Reported,64,,,,
2015,San Francisco,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,San Francisco,Clerical and Administrative Support,100,,,,
2015,San Francisco,Community and Social Service Occupations,7,,,,
2015,San Francisco,Computer and Mathematical Occupations,2,,,,
2015,San Francisco,"Education, Training, and Library Occupations",1,,,,
2015,San Francisco,Healthcare Practitioners and Technical Occupations,1,,,,
2015,San Francisco,Managerial and Administrative,5,,,,
2015,San Francisco,"Prod, Const, Operating, Maint & Material Handling",34,,,,
2015,San Francisco,"Professional, Paraprofessional and Technical",30,,,,
2015,San Francisco,RSA Special Occupations and Miscellaneous,14,,,,
2015,San Francisco,Sales and Related Occupations,31,,,,
2015,San Francisco,Service Occupations,40,,,,
2015,San Joaquin,Not Reported,8,,,,
2015,San Joaquin,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,San Joaquin,Clerical and Administrative Support,14,,,,
2015,San Joaquin,"Prod, Const, Operating, Maint & Material Handling",11,,,,
2015,San Joaquin,"Professional, Paraprofessional and Technical",8,,,,
2015,San Joaquin,RSA Special Occupations and Miscellaneous,9,,,,
2015,San Joaquin,Sales and Related Occupations,14,,,,
2015,San Joaquin,Service Occupations,11,,,,
2015,San Luis Obispo,Not Reported,6,,,,
2015,San Luis Obispo,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,San Luis Obispo,Clerical and Administrative Support,34,,,,
2015,San Luis Obispo,Managerial and Administrative,2,,,,
2015,San Luis Obispo,"Prod, Const, Operating, Maint & Material Handling",25,,,,
2015,San Luis Obispo,"Professional, Paraprofessional and Technical",9,,,,
2015,San Luis Obispo,RSA Special Occupations and Miscellaneous,11,,,,
2015,San Luis Obispo,Sales and Related Occupations,22,,,,
2015,San Luis Obispo,Service Occupations,13,,,,
2015,San Mateo,Not Reported,26,,,,
2015,San Mateo,"Agricultural, Forestry, Fishing and Related",6,,,,
2015,San Mateo,Clerical and Administrative Support,93,,,,
2015,San Mateo,Community and Social Service Occupations,2,,,,
2015,San Mateo,Healthcare Support Occupations,2,,,,
2015,San Mateo,Managerial and Administrative,3,,,,
2015,San Mateo,"Prod, Const, Operating, Maint & Material Handling",18,,,,
2015,San Mateo,"Professional, Paraprofessional and Technical",18,,,,
2015,San Mateo,RSA Special Occupations and Miscellaneous,10,,,,
2015,San Mateo,Sales and Related Occupations,80,,,,
2015,San Mateo,Service Occupations,44,,,,
2015,Santa Barbara,Not Reported,43,,,,
2015,Santa Barbara,"Agricultural, Forestry, Fishing and Related",4,,,,
2015,Santa Barbara,Business and Financial Operations Occupations,2,,,,
2015,Santa Barbara,Clerical and Administrative Support,49,,,,
2015,Santa Barbara,Community and Social Service Occupations,2,,,,
2015,Santa Barbara,Computer and Mathematical Occupations,1,,,,
2015,Santa Barbara,Managerial and Administrative,3,,,,
2015,Santa Barbara,"Prod, Const, Operating, Maint & Material Handling",31,,,,
2015,Santa Barbara,"Professional, Paraprofessional and Technical",27,,,,
2015,Santa Barbara,Protective Service Occupations,1,,,,
2015,Santa Barbara,RSA Special Occupations and Miscellaneous,11,,,,
2015,Santa Barbara,Sales and Related Occupations,31,,,,
2015,Santa Barbara,Service Occupations,55,,,,
2015,Santa Clara,Not Reported,44,,,,
2015,Santa Clara,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,Santa Clara,Clerical and Administrative Support,76,,,,
2015,Santa Clara,Computer and Mathematical Occupations,1,,,,
2015,Santa Clara,"Education, Training, and Library Occupations",1,,,,
2015,Santa Clara,Healthcare Support Occupations,1,,,,
2015,Santa Clara,Managerial and Administrative,1,,,,
2015,Santa Clara,"Prod, Const, Operating, Maint & Material Handling",38,,,,
2015,Santa Clara,"Professional, Paraprofessional and Technical",33,,,,
2015,Santa Clara,RSA Special Occupations and Miscellaneous,7,,,,
2015,Santa Clara,Sales and Related Occupations,136,,,,
2015,Santa Clara,Service Occupations,83,,,,
2015,Santa Cruz,Not Reported,5,,,,
2015,Santa Cruz,Clerical and Administrative Support,6,,,,
2015,Santa Cruz,Healthcare Practitioners and Technical Occupations,1,,,,
2015,Santa Cruz,Managerial and Administrative,1,,,,
2015,Santa Cruz,"Prod, Const, Operating, Maint & Material Handling",17,,,,
2015,Santa Cruz,"Professional, Paraprofessional and Technical",5,,,,
2015,Santa Cruz,RSA Special Occupations and Miscellaneous,2,,,,
2015,Santa Cruz,Sales and Related Occupations,9,,,,
2015,Santa Cruz,Service Occupations,14,,,,
2015,Shasta,Not Reported,4,,,,
2015,Shasta,"Agricultural, Forestry, Fishing and Related",3,,,,
2015,Shasta,Clerical and Administrative Support,7,,,,
2015,Shasta,Community and Social Service Occupations,1,,,,
2015,Shasta,Computer and Mathematical Occupations,1,,,,
2015,Shasta,Managerial and Administrative,1,,,,
2015,Shasta,"Prod, Const, Operating, Maint & Material Handling",14,,,,
2015,Shasta,"Professional, Paraprofessional and Technical",8,,,,
2015,Shasta,RSA Special Occupations and Miscellaneous,6,,,,
2015,Shasta,Sales and Related Occupations,10,,,,
2015,Shasta,Service Occupations,32,,,,
2015,Siskiyou,Not Reported,2,,,,
2015,Siskiyou,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Siskiyou,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Siskiyou,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Siskiyou,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Siskiyou,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Solano,Not Reported,31,,,,
2015,Solano,"Agricultural, Forestry, Fishing and Related",5,,,,
2015,Solano,Clerical and Administrative Support,51,,,,
2015,Solano,Managerial and Administrative,2,,,,
2015,Solano,"Prod, Const, Operating, Maint & Material Handling",40,,,,
2015,Solano,"Professional, Paraprofessional and Technical",14,,,,
2015,Solano,RSA Special Occupations and Miscellaneous,2,,,,
2015,Solano,Sales and Related Occupations,39,,,,
2015,Solano,Service Occupations,61,,,,
2015,Sonoma,Not Reported,40,,,,
2015,Sonoma,"Agricultural, Forestry, Fishing and Related",2,,,,
2015,Sonoma,Clerical and Administrative Support,61,,,,
2015,Sonoma,Computer and Mathematical Occupations,1,,,,
2015,Sonoma,Managerial and Administrative,2,,,,
2015,Sonoma,"Prod, Const, Operating, Maint & Material Handling",26,,,,
2015,Sonoma,"Professional, Paraprofessional and Technical",25,,,,
2015,Sonoma,Protective Service Occupations,1,,,,
2015,Sonoma,RSA Special Occupations and Miscellaneous,15,,,,
2015,Sonoma,Sales and Related Occupations,37,,,,
2015,Sonoma,Service Occupations,56,,,,
2015,Stanislaus,Not Reported,7,,,,
2015,Stanislaus,"Agricultural, Forestry, Fishing and Related",4,,,,
2015,Stanislaus,Business and Financial Operations Occupations,1,,,,
2015,Stanislaus,Clerical and Administrative Support,14,,,,
2015,Stanislaus,Computer and Mathematical Occupations,2,,,,
2015,Stanislaus,"Education, Training, and Library Occupations",1,,,,
2015,Stanislaus,Healthcare Support Occupations,1,,,,
2015,Stanislaus,"Prod, Const, Operating, Maint & Material Handling",15,,,,
2015,Stanislaus,"Professional, Paraprofessional and Technical",6,,,,
2015,Stanislaus,RSA Special Occupations and Miscellaneous,14,,,,
2015,Stanislaus,Sales and Related Occupations,11,,,,
2015,Stanislaus,Service Occupations,22,,,,
2015,Sutter,Not Reported,5,,,,
2015,Sutter,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Sutter,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Sutter,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Sutter,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Sutter,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,Not Reported,4,,,,
2015,Tehama,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,Community and Social Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,Managerial and Administrative,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,"Prod, Const, Operating, Maint & Material Handling",11,,,,
2015,Tehama,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tehama,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Trinity,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Trinity,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tulare,Not Reported,18,,,,
2015,Tulare,"Agricultural, Forestry, Fishing and Related",3,,,,
2015,Tulare,Clerical and Administrative Support,13,,,,
2015,Tulare,"Prod, Const, Operating, Maint & Material Handling",31,,,,
2015,Tulare,"Professional, Paraprofessional and Technical",18,,,,
2015,Tulare,RSA Special Occupations and Miscellaneous,3,,,,
2015,Tulare,Sales and Related Occupations,6,,,,
2015,Tulare,Service Occupations,20,,,,
2015,Tuolumne,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tuolumne,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Tuolumne,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Ventura,Not Reported,26,,,,
2015,Ventura,"Agricultural, Forestry, Fishing and Related",11,,,,
2015,Ventura,Clerical and Administrative Support,40,,,,
2015,Ventura,Community and Social Service Occupations,1,,,,
2015,Ventura,Computer and Mathematical Occupations,1,,,,
2015,Ventura,"Education, Training, and Library Occupations",1,,,,
2015,Ventura,Healthcare Support Occupations,1,,,,
2015,Ventura,Managerial and Administrative,2,,,,
2015,Ventura,"Prod, Const, Operating, Maint & Material Handling",63,,,,
2015,Ventura,"Professional, Paraprofessional and Technical",26,,,,
2015,Ventura,RSA Special Occupations and Miscellaneous,23,,,,
2015,Ventura,Sales and Related Occupations,48,,,,
2015,Ventura,Service Occupations,68,,,,
2015,Yolo,Not Reported,16,,,,
2015,Yolo,"Agricultural, Forestry, Fishing and Related",1,,,,
2015,Yolo,Clerical and Administrative Support,20,,,,
2015,Yolo,Computer and Mathematical Occupations,1,,,,
2015,Yolo,"Prod, Const, Operating, Maint & Material Handling",21,,,,
2015,Yolo,"Professional, Paraprofessional and Technical",3,,,,
2015,Yolo,Sales and Related Occupations,8,,,,
2015,Yolo,Service Occupations,14,,,,
2015,Yuba,Not Reported,8,,,,
2015,Yuba,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Yuba,Healthcare Practitioners and Technical Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Yuba,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Yuba,"Professional, Paraprofessional and Technical",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Yuba,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2015,Yuba,Service Occupations,13,,,,
2016,Alameda,"Agricultural, Forestry, Fishing and Related",4,,,,
2016,Alameda,Business and Financial Operations Occupations,1,,,,
2016,Alameda,Clerical and Administrative Support,123,,,,
2016,Alameda,Community and Social Service Occupations,2,,,,
2016,Alameda,Computer and Mathematical Occupations,5,,,,
2016,Alameda,"Education, Training, and Library Occupations",2,,,,
2016,Alameda,Managerial and Administrative,3,,,,
2016,Alameda,Not Reported,49,,,,
2016,Alameda,"Prod, Const, Operating, Maint & Material Handling",109,,,,
2016,Alameda,"Professional, Paraprofessional and Technical",49,,,,
2016,Alameda,RSA Special Occupations and Miscellaneous,64,,,,
2016,Alameda,Sales and Related Occupations,23,,,,
2016,Alameda,Service Occupations,68,,,,
2016,Amador,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Amador,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Butte,"Agricultural, Forestry, Fishing and Related",3,,,,
2016,Butte,Clerical and Administrative Support,15,,,,
2016,Butte,Community and Social Service Occupations,1,,,,
2016,Butte,Managerial and Administrative,1,,,,
2016,Butte,Not Reported,6,,,,
2016,Butte,"Prod, Const, Operating, Maint & Material Handling",11,,,,
2016,Butte,"Professional, Paraprofessional and Technical",11,,,,
2016,Butte,RSA Special Occupations and Miscellaneous,9,,,,
2016,Butte,Sales and Related Occupations,13,,,,
2016,Butte,Service Occupations,19,,,,
2016,Calaveras,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Calaveras,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Colusa,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Contra Costa,"Agricultural, Forestry, Fishing and Related",8,,,,
2016,Contra Costa,Clerical and Administrative Support,104,,,,
2016,Contra Costa,Community and Social Service Occupations,3,,,,
2016,Contra Costa,"Education, Training, and Library Occupations",2,,,,
2016,Contra Costa,Healthcare Practitioners and Technical Occupations,2,,,,
2016,Contra Costa,Healthcare Support Occupations,2,,,,
2016,Contra Costa,Managerial and Administrative,2,,,,
2016,Contra Costa,Not Reported,32,,,,
2016,Contra Costa,"Prod, Const, Operating, Maint & Material Handling",39,,,,
2016,Contra Costa,"Professional, Paraprofessional and Technical",46,,,,
2016,Contra Costa,RSA Special Occupations and Miscellaneous,17,,,,
2016,Contra Costa,Sales and Related Occupations,23,,,,
2016,Contra Costa,Service Occupations,49,,,,
2016,Del Norte,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Clerical and Administrative Support,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Community and Social Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Healthcare Support Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Not Reported,1,,,,
2016,Del Norte,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Del Norte,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,El Dorado,"Agricultural, Forestry, Fishing and Related",1,,,,
2016,El Dorado,Clerical and Administrative Support,9,,,,
2016,El Dorado,Managerial and Administrative,2,,,,
2016,El Dorado,Not Reported,3,,,,
2016,El Dorado,"Prod, Const, Operating, Maint & Material Handling",3,,,,
2016,El Dorado,"Professional, Paraprofessional and Technical",1,,,,
2016,El Dorado,RSA Special Occupations and Miscellaneous,7,,,,
2016,El Dorado,Sales and Related Occupations,6,,,,
2016,El Dorado,Service Occupations,4,,,,
2016,Fresno,"Agricultural, Forestry, Fishing and Related",12,,,,
2016,Fresno,Clerical and Administrative Support,27,,,,
2016,Fresno,Community and Social Service Occupations,1,,,,
2016,Fresno,Computer and Mathematical Occupations,1,,,,
2016,Fresno,Not Reported,17,,,,
2016,Fresno,"Prod, Const, Operating, Maint & Material Handling",30,,,,
2016,Fresno,"Professional, Paraprofessional and Technical",11,,,,
2016,Fresno,RSA Special Occupations and Miscellaneous,24,,,,
2016,Fresno,Sales and Related Occupations,16,,,,
2016,Fresno,Service Occupations,28,,,,
2016,Glenn,"Agricultural, Forestry, Fishing and Related",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Glenn,Not Reported,1,,,,
2016,Glenn,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Glenn,RSA Special Occupations and Miscellaneous,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Glenn,Sales and Related Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Glenn,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Humboldt,"Agricultural, Forestry, Fishing and Related",5,,,,
2016,Humboldt,Clerical and Administrative Support,19,,,,
2016,Humboldt,Community and Social Service Occupations,1,,,,
2016,Humboldt,Not Reported,12,,,,
2016,Humboldt,"Prod, Const, Operating, Maint & Material Handling",9,,,,
2016,Humboldt,"Professional, Paraprofessional and Technical",9,,,,
2016,Humboldt,RSA Special Occupations and Miscellaneous,2,,,,
2016,Humboldt,Sales and Related Occupations,9,,,,
2016,Humboldt,Service Occupations,17,,,,
2016,Imperial,"Agricultural, Forestry, Fishing and Related",1,,,,
2016,Imperial,Clerical and Administrative Support,11,,,,
2016,Imperial,Managerial and Administrative,1,,,,
2016,Imperial,Not Reported,11,,,,
2016,Imperial,"Prod, Const, Operating, Maint & Material Handling",16,,,,
2016,Imperial,"Professional, Paraprofessional and Technical",6,,,,
2016,Imperial,RSA Special Occupations and Miscellaneous,4,,,,
2016,Imperial,Sales and Related Occupations,9,,,,
2016,Imperial,Service Occupations,19,,,,
2016,Inyo,"Prod, Const, Operating, Maint & Material Handling",,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Inyo,Service Occupations,,1,"Cell suppressed for small number. A score over 12 using the Publication scoring criteria, data omitted.",1,This value represents less than or equal to 1 percent.  
2016,Kern,"Agricultural, Forestry, Fishing and Related",3,,,,
2016,Kern,Clerical and Administrative Support,14,,,,
2016,Kern,Computer and Mathematical Occupations,1,,,,
2016,Kern,"Education, Training, and Library Occupations",2,,,,
2016,Kern,Managerial and Administrative,1,,,,
2016,Kern,Not Reported,15,,,,
2016,Kern,"Prod, Const, Operating, Maint & Material Handling",35,,,,
2016,Kern,"Professional, Paraprofessional and Technical",7,,,,
